กำหนดการ,หลักสูตรภาษาไทย,หลักสูตรนานาชาติ
นิสิตใหม่: ชำระเงินยืนยันสิทธิ์ออนไลน์ และลงทะเบียนยืนยันตัวตนเพื่อใช้งานบัญชีผู้ใช้เครือข่ายนนทรี (Nontri Account),"รอบที่ 1 (TCAS 1, 3): 6 - 13 พ.ค. 68  รอบที่ 2 (TCAS 2, 4): 11 - 13 มิ.ย. 68",-
นิสิตใหม่: ดำเนินการ Login เข้าระบบลงทะเบียนนิสิต my.ku.th เพื่อชำระเงินค่าธรรมเนียมการศึกษา,TCAS 1 - 4: 6 - 13 มิ.ย. 68,-
วันลงทะเบียนเรียน สำหรับนิสิตปัจจุบัน,,
» นิสิตชั้นปี 65 และสูงขึ้นไป,17 มิ.ย. 68,29 มิ.ย. 68
» นิสิตชั้นปี 66,18 มิ.ย. 68,30 มิ.ย. 68
» นิสิตชั้นปี 67,19 มิ.ย. 68,1 ก.ค. 68
» นิสิตชั้นปี 68,20 มิ.ย. 68,1 ก.ค. 68
วันเปิดภาคเรียน,23 มิ.ย. 68,3 ก.ค. 68
วันสุดท้ายของการชำระเงินค่าเล่าเรียน (กรณีชำระเงินล่าช้า),2-15 มิ.ย. 68,7-20 ก.ค. 68
วันเปลี่ยนแปลงรายวิชา (Add/Drop),30 มิ.ย. - 4 ก.ค. 68,11 - 15 ส.ค. 68
วันสุดท้ายของการถอนรายวิชา โดยไม่บันทึกในรายงานผลการศึกษา,5-22 ก.ค. 68,16 - 22 ส.ค. 68
วันสอบกลางภาค,9 - 17 ส.ค. 68,20 - 28 ก.ย. 68
วันสุดท้ายของการถอนรายวิชาโดยได้รับอักษร W,7 ก.ย. 68,18 ต.ค. 68
วันสุดท้ายของการเรียนการสอน,7 ต.ค. 68,18 ต.ค. 68
วันสอบไล่,8 - 22 ต.ค. 68,18 ต.ค. - 2 พ.ย. 68
วันสุดท้ายของการส่งระดับคะแนนผ่านระบบออนไลน์,7 พ.ย. 68,19 พ.ย. 68
วันสุดท้ายที่ทำการของภาควิชา/ฝ่ายวิชาการ,7 พ.ย. 68,19 พ.ย. 68
วันสุดท้ายส่งผลการศึกษาฉบับสมบูรณ์ ถึงสำนักบริหารการศึกษา,13 พ.ย. 68,28 พ.ย. 68
วันสุดท้ายของภาคการศึกษา,20 - 21 พ.ย. 68,-
