กำหนดการ,หลักสูตรภาษาไทย,หลักสูตรนานาชาติ
วันลงทะเบียนเรียน นิสิตชั้นปี 65 และสูงขึ้นไป,19 พ.ย. 68,23 ธ.ค. 68
วันลงทะเบียนเรียน นิสิตชั้นปี 66,20 พ.ย. 68,25 ธ.ค. 68
วันลงทะเบียนเรียน นิสิตชั้นปี 67,21 พ.ย. 68,26 ธ.ค. 68
วันลงทะเบียนเรียน นิสิตชั้นปี 68,19 พ.ย. 68,24 ธ.ค. 68
วันเปิดภาคเรียน,24 พ.ย. 68,4 ม.ค. 69
วันสุดท้ายของการชำระเงินค่าเล่าเรียน (กรณีชำระเงินล่าช้า),3 - 16 พ.ย. 68,15 - 21 ธ.ค. 68
วันเปลี่ยนแปลงรายวิชา (Add/Drop),1 - 5 ธ.ค. 68,12 - 16 ม.ค. 69
วันสุดท้ายของการถอนรายวิชา โดยไม่บันทึกในรายงานผลการศึกษา,6 - 23 ธ.ค. 68,17 - 23 ม.ค. 69
วันสอบกลางภาค,10 - 18 ม.ค. 69,21 ก.พ. - 2 มี.ค. 69
วันสุดท้ายของการถอนรายวิชาโดยได้รับอักษร W,8 ก.พ. 69,19 มี.ค. 69
วันสุดท้ายของการเรียนการสอน,20 มี.ค. 69,2 เม.ย. 69
วันสอบไล่,23 มี.ค. - 1 เม.ย. 69,6 - 16 เม.ย. 69
วันสุดท้ายของการส่งระดับคะแนนผ่านระบบออนไลน์,22 เม.ย. 69,5 พ.ค. 69
วันสุดท้ายที่ทำการของภาควิชา/ฝ่ายวิชาการ,22 เม.ย. 69,5 พ.ค. 69
วันสุดท้ายส่งผลการศึกษาฉบับสมบูรณ์ ถึงสำนักบริหารการศึกษา,29 เม.ย. 69,10 ก.ค. 69
วันสุดท้ายของภาคการศึกษา,29 พ.ค. 69,10 ก.ค. 69
