กำหนดการ,หลักสูตรภาษาไทย,หลักสูตรนานาชาติ
วันลงทะเบียนเรียน นิสิตชั้นปี 65 และสูงขึ้นไป,16 เม.ย. 69,28 พ.ค. 69
วันลงทะเบียนเรียน นิสิตชั้นปี 66,16 เม.ย. 69,28 พ.ค. 69
วันลงทะเบียนเรียน นิสิตชั้นปี 67,17 เม.ย. 69,29 พ.ค. 69
วันลงทะเบียนเรียน นิสิตชั้นปี 68,17 เม.ย. 69,29 พ.ค. 69
วันเปิดภาคเรียน,20 เม.ย. 69,1 มิ.ย. 69
วันสุดท้ายของการชำระเงินค่าเล่าเรียน (กรณีชำระเงินล่าช้า),8 - 10 เม.ย. 69,22 - 26 พ.ค. 69
วันเปลี่ยนแปลงรายวิชา (Add/Drop),27 เม.ย. - 1 พ.ค. 69,8 - 12 มิ.ย. 69
วันสุดท้ายของการถอนรายวิชา โดยไม่บันทึกในรายงานผลการศึกษา,2 - 25 พ.ค. 69,13 มิ.ย. - 6 ก.ค. 69
วันสุดท้ายของการเรียนการสอน,20 พ.ค. 69,30 มิ.ย. 69
วันสอบไล่,22 - 25 พ.ค. 69,2 - 6 ก.ค. 69
วันสุดท้ายของการส่งระดับคะแนนผ่านระบบออนไลน์,11 มิ.ย. 69,23 ก.ค. 69
วันสุดท้ายที่ทำการของภาควิชา/ฝ่ายวิชาการ,11 มิ.ย. 69,23 ก.ค. 69
วันสุดท้ายส่งผลการศึกษาฉบับสมบูรณ์ ถึงสำนักบริหารการศึกษา,13 มิ.ย. 69,24 ก.ค. 69
